time,53,65,111,154,158,229,234,236,340,381
82,33.51,35.76,33.30,32.88,33.07,32.88,34.47,36.98,35.46,34.65
83,33.48,35.66,33.28,32.87,33.06,32.85,34.42,36.81,35.34,34.57
84,34.13,36.22,33.92,33.56,33.70,33.50,35.06,37.19,35.84,35.19
85,34.03,36.13,33.83,33.47,33.62,33.41,34.97,37.10,35.74,35.09
86,34.14,36.21,33.93,33.58,33.72,33.51,35.07,37.10,35.79,35.19
87,34.50,36.57,34.28,33.96,34.08,33.88,35.43,37.42,36.14,35.56
88,34.97,37.06,34.73,34.43,34.52,34.35,35.91,37.94,36.66,36.06
89,34.65,36.79,34.41,34.08,34.20,34.02,35.59,37.89,36.47,35.75
90,34.24,36.40,34.02,33.66,33.81,33.62,35.19,37.51,36.07,35.34
91,33.83,35.96,33.63,33.25,33.41,33.20,34.76,37.03,35.61,34.90
92,33.58,35.68,33.39,33.00,33.17,32.96,34.51,36.67,35.29,34.63
93,33.45,35.52,33.27,32.88,33.05,32.83,34.37,36.44,35.10,34.48
94,33.56,35.59,33.38,33.01,33.17,32.94,34.48,36.40,35.13,34.57
95,33.78,35.80,33.60,33.24,33.39,33.16,34.70,36.58,35.33,34.79
96,34.19,36.22,33.99,33.65,33.78,33.57,35.11,36.98,35.75,35.21
97,34.59,36.64,34.37,34.05,34.16,33.97,35.52,37.45,36.21,35.64
98,35.11,37.19,34.86,34.57,34.66,34.49,36.05,38.06,36.79,36.20
99,35.96,38.10,35.67,35.42,35.46,35.34,36.91,39.04,37.75,37.11
100,36.18,38.38,35.87,35.62,35.66,35.55,37.14,39.49,38.10,37.37
101,36.47,38.71,36.13,35.90,35.92,35.83,37.43,39.95,38.49,37.69
102,36.91,39.20,36.53,36.34,36.33,36.27,37.89,40.56,39.04,38.19
103,37.14,39.49,36.74,36.56,36.53,36.51,38.13,40.97,39.38,38.46
104,37.07,39.46,36.68,36.48,36.47,36.44,38.07,41.07,39.40,38.41
105,36.64,39.04,36.28,36.03,36.06,36.01,37.64,40.71,38.99,37.97
106,35.40,37.74,35.11,34.78,34.88,34.77,36.38,39.22,37.59,36.65
107,33.51,35.76,33.30,32.88,33.07,32.88,34.47,36.98,35.46,34.65
108,33.48,35.66,33.28,32.87,33.06,32.85,34.42,36.81,35.34,34.57
109,34.13,36.22,33.92,33.56,33.70,33.50,35.06,37.19,35.84,35.19
110,34.03,36.13,33.83,33.47,33.62,33.41,34.97,37.10,35.74,35.09
111,34.14,36.21,33.93,33.58,33.72,33.51,35.07,37.10,35.79,35.19
112,34.50,36.57,34.28,33.96,34.08,33.88,35.43,37.42,36.14,35.56
